streetaddr,city,state,zip,stationpho,cardsaccep,type,psi3000,psi3100,lat,lon,id,stationnam
2690 3rd St,San Francisco,CA,94107,562-493-2804,a,a,1,1,37.755584,-122.388208,30632,Clean Energy - Olympian Oil
1650 Islip Ave,Brentwood,NY,11722,631-348-6179,a,a,1,1,40.7841528,-73.2192699,448,Clean Energy - National Grid Brentwood Service Center
2023 W Collins Ave,Orange,CA,92867,714-955-0381,a,a,1,1,33.8037577,-117.8748016,35598,Orange County Public Works
201 Rivermoor St,West Roxbury,MA,2132,800-233-5325,a,a,1,1,42.2788899,-71.180333,83,Clean Energy - National Grid West Roxbury
8095 Lincoln Ave,Riverside,CA,92504,888-758-4389,a,a,1,1,33.92399216,-117.4119492,25437,Riverside
2125 Sanders St,Conway,AR,72032,877-879-0376,a,a,1,1,35.1116647,-92.4368498,51466,Southwestern Energy - Conway
2200 Sunport Blvd SE,Albuquerque,NM,87106,562-493-2804,a,a,1,1,35.049344,-106.620964,33427,Clean Energy - Albuquerque International Sunport
2105 S 1100 W,Ogden,UT,84401,801-392-5010  801-392-9516,a,a,1,1,41.22828,-112.006,552,Phillips 66
1005 E Owen K Garriot,Enid,OK,73701,580-237-4898,a,a,1,1,36.390139,-97.862573,42592,OnCue Express #326 - C-Store
200 Gulf Ave,Staten Island,NY,10303,718-982-7354,a,a,1,1,40.624617,-74.179494,103,Clean Energy - National Grid Staten Island Service Center
308 Stockton Ave,San Jose,CA,95126,800-684-4648,a,a,1,1,37.3337801,-121.9058691,829,PG&E San Jose Service Center
1055 N Alameda St,Los Angeles,CA,90012,562-493-2804,a,a,1,1,34.060172,-118.236898,26309,Clean Energy - Downtown Los Angeles
316 L St,Davis,CA,95616,800-684-4648,a,a,1,1,38.5460707,-121.7334692,836,PG&E Davis Service Center
44416 N Division St,Lancaster,CA,93535,800-920-1166,a,a,1,1,34.661889,-118.1235878,25763,SoCalGas - Lancaster Base
45 McCormick Pl,Asheville,NC,28801,828-259-5700,a,a,1,1,35.588161,-82.550903,28133,City of Asheville
455 Mill Rd,Hewlett,NY,11557,516-792-7284,a,a,1,1,40.6458262,-73.7056405,18900,Clean Energy - National Grid Hewlett Service Center
424 W Cherry St,Milwaukee,WI,53212,414-264-7433,a,a,1,1,43.050524,-87.9167499,32721,Transit Express
300 S Lynndale Dr,Appleton,WI,54914,920-243-5717,a,a,1,1,44.2596976,-88.4458484,1194,US Oil
1172 W 2100 S,Ogden,UT,84401,801-399-5577,a,a,1,1,41.2283202,-112.0074441,35936,Flying J Travel Plaza - Ogden
1800 W 47th Ave,Anchorage,AK,99517,907-248-0010,a,a,1,1,61.177864,-149.916369,36497,Ditch Witch of Alaska
444 Hostetler Rd,Orrville,OH,44667,330-683-8710,a,a,1,1,40.8540085,-81.7679041,45572,Smith Dairy
1305 E Oak St,Conway,AR,72032,501-327-7714,a,a,1,1,35.0912582,-92.4105954,46011,Satterfield Oak St Gulf
1905 SE 37th St,Grimes,IA,50111,515-289-2121  515-669-0690,a,a,1,1,41.659057,-93.773918,42088,CH4 Solutions - Krueger BP
275 Industrial Way,San Carlos,CA,94002,800-684-4648,a,a,1,1,37.52092,-122.266,810,PG&E San Carlos Service Center
12466 Weld County Rd 2-1/4,Brighton,CO,80603,562-493-2804,a,a,1,1,40.0070013,-104.7996937,12772,Clean Energy - Natural Public Service Co
2352 Bisso Ln,Concord,CA,94520,800-920-1166,a,a,1,1,37.982132,-122.0463764,21660,Trillium CNG - Mount Diablo Unified School District
430 N Cota St,Corona,CA,92880,951-736-2307,a,a,1,1,33.8859506,-117.5718916,25425,City of Corona
2150 Dr Martin Luther King Jr St,Indianapolis,IN,46202,317-927-6000,a,a,1,1,39.79769,-86.17253,146,Langsdale Facility - Citizens Energy Group
1600 Gateway Blvd SE,Canton,OH,44707,562-493-2804,a,a,1,1,40.78073,-81.3681,41679,Clean Energy - Stark Area Regional Transit Authority
1818 Holiday Dr,Athens,TN,37303,865-643-8000,a,a,1,1,35.467702,-84.644728,51621,PBG Energy
1 Dana Rd,Valhalla,NY,10595,866-278-3674  914-592-6557,a,a,1,1,41.0823165,-73.8133383,131,Clean Energy - New York State Department of Transportation
1100 Airport Rd SE,Salem,OR,97301,503-378-4304,a,a,1,1,44.922451,-123.00102,719,Oregon Department of Administrative Services Motor Pool
7301 N Highway 81,Duncan,OK,73533,580-255-3111,a,a,1,1,34.580008,-97.967264,50647,America's Fuel 4 U
9811 Harry Hines Blvd,Dallas,TX,75220,562-493-2804,a,a,1,1,32.8581397,-96.8809228,48913,Clean Energy - City of Dallas - NW Service Center
670 West Ave L-8,Lancaster,CA,93534,661-940-4551,a,a,1,1,34.64942,-118.143,1032,Antelope Valley School Bus Transit
1798 E 55th St,Cleveland,OH,44103,562-493-2804,a,a,1,1,41.5101204,-81.6520374,41681,Clean Energy - Ace Taxi Service
1402 S Perkins Rd,Stillwater,OK,74074,405-624-9091,a,a,1,1,36.106647,-97.051776,42594,OnCue Express #314 - C-Store
339 Doak Blvd,Ripon,CA,95366,209-599-2151,a,a,1,1,37.730484,-121.126881,48012,City of Ripon
810 N 800 W,Scipio,UT,84656,435-758-2345,a,a,1,1,39.25537,-112.117,36312,Flying J Travel Plaza - Scipio
6351 Shier-Rings Rd,Dublin,OH,43016,614-410-4757  614-659-5196,a,a,1,1,40.093209,-83.16221,41685,City of Dublin
231 Bartlett St SW,Grand Rapids,MI,49503,888-383-5648,a,a,1,1,42.9578603,-85.6742241,12854,DTE Energy - Pacific Pride
801 S Riverfront,Dallas,TX,75207,866-278-3674,a,a,1,1,32.776194,-96.813944,456,Clean Energy - Downtown Dallas
200 Rangos Ln,Washington,PA,15301,724-222-3272  800-950-3835,a,a,1,1,40.208069,-80.273161,43071,Clean N' Green - Waste Management
410 S Hawthorn,Sapulpa,OK,74066,888-609-2410,a,a,1,1,35.9936933,-96.1277899,12786,Oklahoma Natural Gas - Sapulpa Service Center
1709 S Highway 183,Clinton,OK,73601,580-323-3041,a,a,1,1,35.490456,-98.9676889,50646,Domino Express #1
41575 Eclectic St,Palm Desert,CA,92260,562-493-2804,a,a,1,1,33.744481,-116.359946,51599,Clean Energy - Palm Desert Burrtec Waste - Public Access
1302 Washington Dam Rd,Washington City,UT,84780,435-656-6333,a,a,1,1,37.113921,-113.4789121,38055,Washington City Fleet Facility
1501 W Madison St,Phoenix,AZ,85007,562-493-2804,a,a,1,1,33.445755,-112.091726,18928,Arizona Department of Administration
1101 W Bridge St,Phoenixville,PA,19460,610-648-7809,a,a,1,1,40.125557,-75.536833,786,PECO Energy - Phoenixville Service Building
4612 50th St,Tampa,FL,33619,800-920-1166,a,a,1,1,27.901609,-82.400557,52685,Trillium CNG - 50th Street - Tampa
23924 Figueroa St,Carson,CA,90745,562-493-2804,a,a,1,1,33.807401,-118.28404,30619,Clean Energy - Los Angeles Sanitation District
3200 Hobson St,Detroit,MI,48201,888-383-5648,a,a,1,1,42.341747,-83.068211,12850,DTE Energy - Noble
8246 Route 5,Westfield,NY,14787,716-753-6565,a,a,1,1,42.3406874,-79.5959668,42590,HPW Energy Inc
1607 2nd Ave,Greeley,CO,80631,678-450-2189,a,a,1,1,40.41301,-104.68,36293,SkyBlu
2151 Airport Blvd,San Jose,CA,95110,800-920-1166,a,a,1,1,37.367444,-121.933097,22795,Trillium CNG - Mineta San Jose International Airport
9225 Aviation Blvd,Los Angeles,CA,90045,562-493-2804,a,a,1,1,33.95125,-118.378006,39194,Clean Energy - Hertz - Los Angeles World Airports (LAX)
1701 W Airline Rd,Pauls Valley,OK,73075,888-609-2410,a,a,1,1,34.7046239,-97.2484831,12783,Oklahoma Natural Gas - Pauls Valley Service Center
44 Harding St,Middleborough,MA,2346,617-242-8755,a,a,1,1,41.902772,-70.968072,20905,Alternative Vehicle Service Group - Middleboro
12225 N I-35 Service Rd,Oklahoma City,OK,73131,405-478-5766,a,a,1,1,35.59392,-97.4365,46191,Love's Country Store #205
420 W 23rd St,Tulsa,OK,74107,918-527-0002,a,a,1,1,36.1303718,-95.9950383,47992,City of Tulsa West Maintenance Yard - Public Access
5400 N Green Bay Ave,Milwaukee,WI,53209,920-243-5717,a,a,1,1,43.1164,-87.931676,1149,US Oil
350 W Firebaugh Ave,Exeter,CA,93221,559-592-3318,a,a,1,1,36.2899417,-119.1428118,35220,City of Exeter
13626 Twin Peaks Rd,Poway,CA,92064,858-748-0010,a,a,1,1,32.9785812,-117.0356209,945,Poway Unified School District
1392 Highway 84 E,Coushatta,LA,71019,866-251-0032,a,a,1,1,32.015664,-93.316506,35940,Encana - Red River
351 W 400 S,Circleville,UT,84723,435-577-2442,a,a,1,1,38.1645339,-112.2630795,46139,Circleville CNG
22983 Brownsprings Rd,Thackerville,OK,73459,,a,a,1,1,33.735064,-97.143939,47293,Chickasaw Indian Nation - Thackerville
1901 Airport Rd,South Lake Tahoe,CA,96150,800-920-1166,a,a,1,1,38.890966,-119.998746,18848,Trillium CNG - Tahoe Transportation District
10900 N Blaney Ave,Cupertino,CA,95014,800-684-4648,a,a,1,1,37.333601,-122.0236407,828,PG&E Cupertino Service Center
7500 Nordic Dr,Cedar Falls,IA,50613,319-277-1025,a,a,1,1,42.4700826,-92.4477705,52484,Kwik Trip #490
4420 Buford Hwy NE,Chamblee,GA,30341,678-638-6197,a,a,1,1,33.8720582,-84.2963358,43705,American Fueling Systems
200 E 1st Ave,Topeka,KS,66603,913-319-8600,a,a,1,1,39.05875,-95.6679,434,Kansas Gas Service
2242 S Lumber St,Chicago,IL,60616,708-446-5542,a,a,1,1,41.851903,-87.643101,52485,Ozinga Energy - Lumber Street - Public Access
1825 Route 309,Allentown,PA,18104,610-625-8109,a,a,1,1,40.6121352,-75.5706186,52494,Lehigh Gas - Exxon
7020 Highway 61 W,Minnesota City,MN,55959,507-452-6230,a,a,1,1,44.075729,-91.730504,49283,Kwik Trip #623
6700 Delilah Rd,Egg Harbor Township,NJ,8234,603-224-6582,a,a,1,1,39.419449,-74.538122,35309,Clean Energy - Atlantic County Utilities Authority
4202 E Sky Harbor Blvd,Phoenix,AZ,85034,562-493-2804,a,a,1,1,33.437284,-111.987205,12798,Clean Energy - Phoenix Sky Harbor Airport - East Side Station
14 Rover St,Everett,MA,2149,800-233-5325,a,a,1,1,42.3931907,-71.0643964,84,Clean Energy - National Grid Everett
5900 W Reno Ave,Oklahoma City,OK,73127,405-787-2255,a,a,1,1,35.4635856,-97.6196181,36591,OnCue Express #100 - C-Store
2525 Hygeia St,Corpus Christi,TX,78415,361-885-6910,a,a,1,1,27.7301673,-97.4263829,35138,City of Corpus Christi Gas Department
1995 Veterans Blvd,Ardmore,OK,73401,888-609-2410,a,a,1,1,34.189832,-97.1082261,743,Oklahoma Natural Gas - Southern Oklahoma Development Association
5800 Mesa Dr,Houston,TX,77028,713-635-5361,a,a,1,1,29.816442,-95.25631,60119,Questar Fueling - Houston
201 Latta Rd,Ada,OK,74820,580-310-0900,a,a,1,1,34.7736949,-96.6969883,35419,Ada Travel Stop West
2109 McCue Rd,Houston,TX,77056,713-296-7479,a,a,1,1,29.744353,-95.46424,51035,Apache Houston
201 1st St,Kenosha,WI,53403,920-243-5717,a,a,1,1,42.6677892,-87.8092056,1192,US Oil
501 W Blackstock Rd,Spartanburg,SC,29301,864-286-7911,a,a,1,1,34.946191,-81.996885,51479,Piedmont Natural Gas - Spartanburg - Public Access
734 S Main St,Cedar City,UT,84720,435-586-1344,a,a,1,1,37.664649,-113.066654,573,KB Express
4500 Norris Canyon Rd,San Ramon,CA,94583,800-920-1166,a,a,1,1,37.7726049,-121.9697814,797,Trillium CNG - United Parcel Service - San Ramon
600 W Church St,Newark,OH,43055,740-327-7255  740-404-2123,a,a,1,1,40.058031,-82.423622,33133,CNG Auto Sales
1700 S. Mount Prospect Rd,Des Plains,IL,60018,847-768-0500,a,a,1,1,42.017847,-87.921507,19143,Gas Technology Institute
1830 S West Ave,Waukesha,WI,53186,920-243-5717,a,a,1,1,42.9820769,-88.2382219,1191,US Oil
2221 Pipeline Rd,Cleburne,TX,76033,,a,a,1,1,32.382912,-97.397639,52212,Peake Fuel Solutions
8968 S Choctaw Dr,Baton Rouge,LA,70815,800-349-0170,a,a,1,1,30.471711,-91.0848119,296,Lavigne Oil Co - Choctaw
600 N 3700 W,Salt Lake City,UT,84116,801-324-3900,a,a,1,1,40.77812,-111.98,23213,Salt Lake City International Airport - Public Access
3989 S K St,Tulare,CA,93274,559-684-4318  559-684-4330,a,a,1,1,36.168941,-119.336803,7041,Clean Energy - City of Tulare
121 Houston Rd,Troutman,NC,28166,877-776-2427,a,a,1,1,35.680561,-80.858247,48007,PSNC Energy
5710 Daugherty Ave,Laredo,TX,78041,866-278-3674  562-493-2804,a,a,1,1,27.5500037,-99.47217,35139,City of Laredo - Public Access
2421 S 1st Pl,Broken Arrow,OK,74012,888-609-2410  800-664-5463,a,a,1,1,36.0230553,-95.7878643,7108,Oklahoma Natural Gas - Broken Arrow Service Center
1460 N 1750 W,Springville,UT,84663,801-489-3622,a,a,1,1,40.187357,-111.640443,23211,Flying J Travel Plaza - Springville
1490 S County Rd 700 W,Frankfort,IN,46041,877-264-3835,a,a,1,1,40.265069,-86.637969,51470,Northville NG Fuels
4508 N Big Spring St,Midland,TX,79705,713-296-7479,a,a,1,1,32.042664,-102.084597,50651,Apache Midland - Stripes #207
4600 Mark IV Pkwy,Fort Worth,TX,76161,562-493-2804,a,a,1,1,32.82677,-97.317765,1396,Clean Energy - Fort Worth
1731 E Division St,Arlington,TX,76011,562-493-2804,a,a,1,1,32.74199,-97.0842,37119,Clean Energy -  Valero Cowboys Stadium
1028 N Preston,Davenport,OK,74026,888-609-2410,a,a,1,1,35.7127463,-96.7663455,12784,Oklahoma Natural Gas - CNG Maintenance Facility
3530 E Foothill Blvd,Pasadena,CA,91107,562-493-2804,a,a,1,1,34.149944,-118.077452,26312,Clean Energy - Pasadena Southern California Gas Co
13600 N Western Ave,Oklahoma City,OK,73114,405-752-4597,a,a,1,1,35.6078688,-97.5315027,50268,OnCue Express #112 - C-Store
555 Wordin Ave,Bridgeport,CT,6605,203-339-3210,a,a,1,1,41.1644693,-73.2070033,36575,Enviro Express Natural Gas
1375 N Main St,Richfield,UT,84701,435-896-8352,a,a,1,1,38.7841111,-112.0843094,569,Chevron
14270 Schaefer St,Detroit,MI,48227,888-383-5648,a,a,1,1,42.392497,-83.176053,12847,DTE Energy - Coolidge
1400 N 900 E,Logan,UT,84341,801-538-3440  800-678-3440,a,a,1,1,41.7501162,-111.8112601,23215,Utah State University
601 S Main St Ext,Punxsutawney,PA,15767,814-590-4498,a,a,1,1,40.919381,-78.983944,41176,"""O"" Ring CNG Fuels Systems - Innovative Entrepreneurs Inc"
4600 S Redwood Rd,Salt Lake City,UT,84123,801-538-3440,a,a,1,1,40.6712112,-111.9403845,47302,Salt Lake Community College
555 N Prospect St,Porterville,CA,93257,559-791-7867,a,a,1,1,36.0758929,-119.0440579,35075,City of Porterville - Public Access
915 E Saint George Blvd,Saint George,UT,84770,435-656-1350,a,a,1,1,37.110213,-113.563803,575,Shell
1731 Kings Hwy,Shreveport,LA,71103,318-673-6300,a,a,1,1,32.479998,-93.766015,42586,Shreveport Trash Trucks - Public Access
530 W Old Mill Ln,Kaysville,UT,84037,801-324-3900  801-324-3651,a,a,1,1,41.035831,-111.949041,42600,Questar Gas - Kaysville
1920 S Eastern Ave,Moore,OK,73160,405-793-1328,a,a,1,1,35.3208639,-97.4767258,48499,7-Eleven
5016 Wellington Ave,Ventnor City,NJ,8406,562-493-2804  609-344-8642,a,a,1,1,39.3531397,-74.47712,36309,Clean Energy - Atlantic City Jitney Association
7953 S Airport Rd,West Jordan,UT,84088,801-280-6687,a,a,1,1,40.607229,-111.996273,23212,Copperhills Phillips 66
122 N Washington St,Afton,WY,83110,307-884-8182,a,a,1,1,42.7310456,-110.9332701,50282,Star Valley Gas
10 Spring St,Charleston,WV,25302,877-742-4476,a,a,1,1,38.3561827,-81.6270841,53646,IGS CNG Services
86 Granby St,Bloomfield,CT,6002,860-243-0138,a,a,1,1,41.8109547,-72.708565,36296,Clean Energy - Yellow Cab
1441 9th Ave NE,Hickory,NC,28601,828-323-7573,a,a,1,1,35.7396322,-81.3099313,21107,City of Hickory
6797 Highway 175,Frierson,LA,71027,318-429-0271,a,a,1,1,32.2140539,-93.7057524,42583,Relay Station - Red River CNG
4637 Florida Blvd,Baton Rouge,LA,70806,800-349-0170,a,a,1,1,30.4507218,-91.1425396,295,Lavigne Oil Co - Florida
2990 Baseline Rd,Boulder,CO,80303,562-493-2804,a,a,1,1,39.9997566,-105.2534527,650,Clean Energy - Amoco
8000 Denton Dr,Dallas,TX,75235,562-493-2804,a,a,1,1,32.8394449,-96.8538004,26655,Clean Energy - Love Field Airport
857 Iona Ave,Lemoore,CA,93245,559-924-6734,a,a,1,1,36.2837197,-119.793621,49541,Lemoore CNG
149 SW Kenyon St,Seattle,WA,98108,800-950-3835,a,a,1,1,47.531275,-122.336961,34206,Clean N' Green - Waste Management
1600 W Commonwealth Ave,Fullerton,CA,92833,714-738-5333,a,a,1,1,33.869787,-117.952097,50645,City of Fullerton - EcoFuelCNG
10095 Highway 191,Pinedale,WY,82941,307-367-2139 x2,a,a,1,1,42.9383457,-110.082227,49551,Sublette School District #1
1 Scott Way,Philadelphia,PA,19113,562-493-2804,a,a,1,1,39.872606,-75.260831,48911,Clean Energy - Philadelphia International Airport - Wally Park
2210 S Colorado Blvd,Denver,CO,80222,562-493-2804,a,a,1,1,39.6764352,-104.940481,644,Clean Energy - Valero #4079
187 S Pershing Ave,San Bernardino,CA,92408,909-384-5220,a,a,1,1,34.0983685,-117.2884613,32669,City of San Bernardino
943 SE Frontage Rd,Sturtevant,WI,53177,262-886-5441,a,a,1,1,42.7231601,-87.951114,44851,Kwik Trip #686
755 W Capitol Dr,San Pedro,CA,90731,213-244-5681,a,a,1,1,33.7582189,-118.294021,1002,SoCalGas - San Pedro Base
36001 Date Palm Dr,Cathedral City,CA,92234,562-493-2804,a,a,1,1,33.786462,-116.45864,26306,Clean Energy - ARCO Cathedral City
507 S Main St,Frederick,OK,73542,888-609-2410,a,a,1,1,34.3849715,-99.0170426,22719,Tillman's Producers Co-op Fueling Station
3965 Occidental Rd,Santa Rosa,CA,95401,800-684-4648,a,a,1,1,38.4286463,-122.7669412,834,PG&E Santa Rosa Service Center
701 2nd St NW,Auburn,WA,98001,253-939-3570,a,a,1,1,47.3092784,-122.2373066,50276,Waste Management - South Sound
2400 S Washburn St,Oshkosh,WI,54904,920-233-4080,a,a,1,1,43.9901521,-88.5859546,48917,Kwik Trip #457
1 N Main St,Evansville,IN,47711,812-491-4737,a,a,1,1,37.9788993,-87.5634029,33426,Vectren Energy Delivery Eco-Fuel Center
131 Aaronson Dr,Baltimore,MD,21240,562-493-2804,a,a,1,1,39.1872,-76.6559,48905,Clean Energy - BWI Airport - Maryland Department of General Services - Public Access
2805 SE 32nd Ave,Ocala,FL,34471,352-390-8039,a,a,1,1,29.1568425,-82.092366,52994,Reliance Alternative Fuel
3025 W Ruby Ave,Milwaukee,WI,53209,414-286-2282,a,a,1,1,43.0989845,-87.9510647,42609,City of Milwaukee - Ruby Avenue
3333 Losee Rd,North Las Vegas,NV,89030,702-676-1500,a,a,1,1,36.220403,-115.125585,1083,Clean Energy - Regional Transportation Commission of Southern Nevada
2616 W Border St,Muskogee,OK,74401,888-609-2410  800-664-5463,a,a,1,1,35.740814,-95.397017,765,Oklahoma Natural Gas - Muskogee Service Center
Harr Ave & Chiles Ave,Fort Carson,CO,80902,800-366-4602,a,a,1,1,38.753882,-104.797307,12775,Clean Energy - Fort Carson
3035 Tobacco Rd,Hephzibah,GA,30815,706-829-1273,a,a,1,1,33.392931,-82.11295,51876,City of Augusta
14640 Pardee Rd,Taylor,MI,48180,734-374-4229,a,a,1,1,42.198929,-83.258787,22715,Meijer Gas #35
100 Magnolia Ave,Long Beach,CA,90802,562-493-2804,a,a,1,1,33.768447,-118.197824,30627,Clean Energy - Downtown Long Beach
3351 Thomas Rd,Santa Clara,CA,95054,800-920-1166,a,a,1,1,37.381823,-121.9577667,27978,Trillium CNG - Specialty Solid Waste & Recycling
110 W 900 S,Salt Lake City,UT,84101,801-389-6233,a,a,1,1,40.750157,-111.894443,52696,CNG America
1993 Rancho Conejo Blvd,Thousand Oaks,CA,91320,800-920-1166  805-449-2499,a,a,1,1,34.2063189,-118.9357567,20976,Trillium CNG - City of Thousand Oaks
1628 James P Rogers Dr,Valdosta,GA,31601,229-242-2200,a,a,1,1,30.7972,-83.2746,49282,Langdale Fuel
3210 S Maple Ave,Santa Ana,CA,92707,562-493-2804,a,a,1,1,33.703865,-117.863761,30628,Clean Energy - Santa Ana
8101 S Rosemead Blvd,Pico Rivera,CA,90660,213-244-5681,a,a,1,1,33.9680279,-118.1066058,1000,SoCalGas - Pico Rivera Base
3400 E Tahquitz Canyon Way,Palm Springs,CA,92262,562-493-2804,a,a,1,1,33.819242,-116.509117,1380,Clean Energy - Palm Springs International Airport
10050 Naples St NE,Blaine,MN,55449,800-950-3835,a,a,1,1,45.152304,-93.186247,43633,Clean N' Green - Waste Management
2300 Lowery St,Winston-Salem,NC,27101,864-286-7911,a,a,1,1,36.093837,-80.209155,50048,Piedmont Natural Gas - Winston-Salem
1004 S La Cienega Blvd,Los Angeles,CA,90035,562-493-2804,a,a,1,1,34.059388,-118.375858,34474,Clean Energy - La Cienega Station
3729 Smith Ave,Everett,WA,92801,800-663-4555  888-732-6487,a,a,1,1,47.9678081,-122.1968047,33321,Clean Energy - Everett Station
2425 E Buckeye Rd,Phoenix,AZ,85034,562-493-2804,a,a,1,1,33.435582,-112.032864,27026,Clean Energy - Phoenix Sky Harbor Airport - Rental Car Center
741 Charles Young Dr,Los Angeles,CA,90095,562-493-2804,a,a,1,1,34.067611,-118.447872,30620,Clean Energy - UCLA
4821 E 66th St N,Tulsa,OK,74117,888-609-2410  918-640-1591,a,a,1,1,36.249583,-95.922592,32670,Oklahoma Natural Gas - Tulsa North Service Center
7855 Earhart Rd,Oakland,CA,94621,562-493-2804,a,a,1,1,37.746211,-122.188413,26554,Clean Energy - Oakland International Airport
856 N 600 E,Fair Oaks,IN,47943,312-300-6700,a,a,1,1,41.00993,-87.2761,47276,AMP Americas - Fair Oaks Dairy
1919 S State College Blvd,Anaheim,CA,92806,800-920-1166,a,a,1,1,33.80086,-117.89,1354,Trillium CNG - Southern California Gas Co - Anaheim
340 Whitehall St SW,Atlanta,GA,30303,562-493-2804,a,a,1,1,33.746059,-84.398865,42,Clean Energy - PS Energy - Atlanta
4400 O'Day Ave NE,Saint Michael,MN,55376,763-497-2447,a,a,1,1,45.217558,-93.598394,52490,Kwik Trip #681
925 N Main St,Lexington,NC,27292,336-242-2250,a,a,1,1,35.831262,-80.2439631,40081,Davidson County
100 N Sandstone Ct,Barstow,CA,92311,888-792-0691,a,a,1,1,34.886448,-117.079417,28523,City of Barstow
523 Perry Pkwy,Perry,GA,31069,800-920-1166,a,a,1,1,32.492463,-83.740425,52202,AMP Trillium - Perry Parkway - Perry
615 7th Ave,Santa Cruz,CA,95062,800-684-4648,a,a,1,1,36.969267,-121.999295,798,PG&E Santa Cruz Service Center
7485 Kickapoo Tr,Yucca Valley,CA,92284,562-493-2804,a,a,1,1,34.117016,-116.457548,26314,Clean Energy - Yucca Valley
120 N Macneil St,San Fernando,CA,91340,818-898-1293,a,a,1,1,34.2836866,-118.4389656,33425,City of San Fernando
5339 Harding Ave,Plover,WI,54467,715-344-7252,a,a,1,1,44.4268987,-89.5160247,53781,Kwik Trip #202
1050 Swedesford Rd,Berwyn,PA,19312,610-648-7809,a,a,1,1,40.0592201,-75.4620838,778,PECO Energy - Berwyn Station
3008 Chrisler Ave,Rotterdam,NY,12303,866-278-3674  518-393-0863,a,a,1,1,42.7832058,-73.9291613,28764,Clean Energy - New York State Department of Transportation
10641 Almond Ave,Fontana,CA,92337,281-647-8900,a,a,1,1,34.060593,-117.49208,52682,Ryder Systems Inc
4424 Amelia Earhart Dr,Oklahoma City,OK,73159,303-322-4600,a,a,1,1,35.406035,-97.600483,33898,Clean Energy - Will Rogers World Airport
9050 Elkmont Dr,Elk Grove,CA,95624,562-593-2804,a,a,1,1,38.38145065,-121.364357,41171,Clean Energy - City of Elk Grove
Grand Central Pkwy,Flushing,NY,11371,718-803-1418,a,a,1,1,40.774739,-73.872372,18904,Clean Energy - BP LaGuardia Airport
2400 E Spring St,Long Beach,CA,90806,562-493-2804,a,a,1,1,33.810964,-118.163013,30626,Clean Energy - Long Beach Airport
10010 City Pond Rd,Covington,GA,30014,770-399-7800,a,a,1,1,33.6184832,-83.8492312,53627,Covington Green Fuels Facility
1605 Highway 2 S,Wilburton,OK,74578,405-372-3579,a,a,1,1,34.8987849,-95.3229538,36699,OnCue Express #355
2010 N Park Ave,Park City,UT,84060,435-649-3689,a,a,1,1,40.662426,-111.511947,520,Top Stop
1017 Airline Dr,Kenner,LA,70062,562-493-2804,a,a,1,1,29.9822851,-90.2570131,42585,Clean Energy - New Orleans International Airport
3103 N Industrial Way,Castle Rock,CO,80104,720-941-2791,a,a,1,1,39.406906,-104.871667,633,Ward - Castle Rock
2000 Post Rd,Warwick,RI,2886,401-737-8222,a,a,1,1,41.7259,-71.4359,30374,AVSG - TF Green Airport
4419 Main St,Arkoma,OK,74901,405-372-3579,a,a,1,1,35.3214,-94.4414,36586,OnCue Express #350
1100 Albany Ave,Atlantic City,NJ,8401,800-366-4602  562-493-2804,a,a,1,1,39.364482,-74.471894,48008,Clean Energy - City of Atlantic City
1444 N Kickapoo St,Shawnee,OK,74801,888-609-2410  800-664-5463,a,a,1,1,35.3461608,-96.9299572,768,Oklahoma Natural Gas - Shawnee Service Center
7800 Moss Ave,California City,CA,93505,661-824-4250,a,a,1,1,35.1015424,-117.9894867,34322,City of California City
116 N 8th St,Deming,NM,88030,575-494-3037  575-546-8848,a,a,1,1,32.2676654,-107.768756,53632,City of Deming
2890 N Harvey Mitchell Pkwy,Bryan,TX,77807,888-560-5556  979-778-9345,a,a,1,1,30.7223978,-96.4273347,50052,CNG 4 America - Bryan
219 N Quarantina St,Santa Barbara,CA,93103,213-244-5681,a,a,1,1,34.4215753,-119.683965,12839,SoCalGas - Santa Barbara Base
1610 E Washington St,West Bend,WI,53095,262-335-1511,a,a,1,1,43.4272226,-88.1982813,18944,East Side Mobil
4760 Old Post Rd,Ogden,UT,84403,801-324-3900,a,a,1,1,41.176906,-111.9477613,40319,Weber State University - Questar Gas
16690 D St,Victorville,CA,92392,760-241-6365,a,a,1,1,34.539336,-117.296242,18943,City of Victorville
6650 State Rd 38 E,Lafayette,IN,47905,260-229-2323,a,a,1,1,40.3740679,-86.7785995,52488,CNG Fuel Inc - Lafayette
1060 S Highway 99,Fillmore,UT,84631,801-324-5987,a,a,1,1,38.9480413,-112.3472722,566,Questar Gas - Chevron
1131 Elmira St,Sayre,PA,18840,,a,a,1,1,41.9664891,-76.5338873,53006,Dandy Mini-Mart
4990 Paradise Rd,Las Vegas,NV,89119,702-676-1500,a,a,1,1,36.099349,-115.149025,41173,Clean Energy - McCarran International Airport
320 Williams St,Hendersonville,NC,28792,828-697-4809,a,a,1,1,35.3156959,-82.4531288,36582,Henderson County
790 N McDonnell Rd,San Francisco,CA,94128,562-493-2804,a,a,1,1,37.63239,-122.399068,25483,Clean Energy - San Francisco Airport
4285 W 1385 S,Salt Lake City,UT,84104,800-442-6687  801-521-0360,a,a,1,1,40.7394109,-111.992133,35699,Semi-Service
2101 SW Mustang Dr,Andrews,TX,79714,713-296-7479,a,a,1,1,32.3059331,-102.5442911,46339,Apache Andrews
